"2016-05-16 at 12:18"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
12:18:28 -4.34 50.47 98.64
12:18:29 -3.60 50.47 98.64
12:18:30 -4.03 50.47 98.63
12:18:31 -3.98 50.47 98.63
12:18:32 -3.95 50.47 98.63
12:18:33 -3.88 50.47 98.63
12:18:34 -4.17 50.47 98.63
12:18:35 -3.90 50.47 98.63
12:18:36 -4.37 50.47 98.63
12:18:37 -4.03 50.47 98.63
12:18:38 -4.06 50.47 98.63
12:18:39 -4.17 50.47 98.63
12:18:40 -4.00 50.47 98.63
12:18:41 -4.25 50.47 98.63
12:18:42 -3.80 50.47 98.63
12:18:43 -4.14 50.47 98.63
12:18:44 -3.85 50.47 98.63
12:18:45 -4.17 50.47 98.63
12:18:46 -3.85 50.47 98.63
12:18:47 -3.69 50.47 98.63
12:18:48 -4.01 50.47 98.63
12:18:49 -4.32 50.47 98.63
12:18:50 -3.90 50.47 98.63
12:18:51 -4.07 50.47 98.63
12:18:52 -3.95 50.47 98.63
12:18:53 -4.03 50.47 98.63
12:18:54 -3.93 50.47 98.63
12:18:55 -4.19 50.47 98.63
12:18:56 -4.03 50.47 98.63
12:18:57 -3.68 50.47 98.63
12:18:58 -0.40 50.47 98.63
12:18:59 11.61 50.47 98.63
12:19:00 40.61 50.47 98.63
12:19:01 86.84 50.47 98.63
12:19:02 140.62 50.47 98.63
12:19:03 182.36 50.47 98.63
12:19:04 197.61 50.47 98.63
12:19:05 186.11 50.47 98.63
12:19:06 157.02 50.47 98.63
12:19:07 122.60 50.47 98.63
12:19:08 105.04 50.47 98.63
12:19:09 74.94 50.47 98.63
12:19:10 52.54 50.47 98.63
12:19:11 35.94 50.47 98.63
12:19:12 24.49 50.47 98.63
12:19:13 16.77 50.47 98.63
12:19:14 12.42 50.47 98.63
12:19:15 7.58 50.47 98.63
12:19:16 5.17 50.47 98.63
12:19:17 2.93 50.47 98.63
12:19:18 1.29 50.47 98.63
12:19:19 0.53 50.47 98.63
12:19:20 -0.07 50.47 98.63
12:19:21 -0.77 50.47 98.63
12:19:22 -0.85 50.47 98.63
12:19:23 -1.91 50.47 98.63
12:19:24 -2.12 50.47 98.63
12:19:25 -2.08 50.47 98.63
12:19:26 -3.01 50.47 98.63
12:19:27 -2.85 50.47 98.63
12:19:28 -3.42 50.47 98.64
12:19:29 -2.71 50.47 98.64
12:19:30 -2.86 50.47 98.63
12:19:31 -3.49 50.47 98.63
12:19:32 -3.51 50.47 98.63
12:19:33 -3.47 50.47 98.63
12:19:34 -3.53 50.47 98.63
12:19:35 -3.18 50.47 98.63
12:19:36 -2.75 50.47 98.64
12:19:37 0.58 50.47 98.64
12:19:38 11.29 50.47 98.64
12:19:39 31.57 50.47 98.64
12:19:40 59.56 50.47 98.63
12:19:41 86.80 50.47 98.63
12:19:42 102.83 50.47 98.63
12:19:43 102.62 50.47 98.63
12:19:44 91.43 50.47 98.63
12:19:45 73.04 50.47 98.63
12:19:46 54.32 50.47 98.63
12:19:47 37.31 50.47 98.63
12:19:48 25.54 50.47 98.63
12:19:49 17.14 50.47 98.63
12:19:50 10.95 50.47 98.63
12:19:51 8.80 50.47 98.63
12:19:52 5.74 50.47 98.63
12:19:53 3.53 50.47 98.63
12:19:54 1.96 50.47 98.63
12:19:55 0.29 50.47 98.64
12:19:56 -0.38 50.47 98.64
12:19:57 -1.31 50.47 98.64
12:19:58 -1.78 50.47 98.63
12:19:59 -1.57 50.47 98.63
12:20:00 -2.58 50.47 98.63
12:20:01 -2.55 50.47 98.63
12:20:02 -2.78 50.47 98.63
12:20:03 -3.13 50.47 98.63
12:20:04 -3.16 50.47 98.63
12:20:05 -3.40 50.47 98.64
12:20:06 -3.59 50.47 98.64
12:20:07 -3.24 50.47 98.63
12:20:08 -3.34 50.47 98.63
12:20:09 -3.37 50.47 98.63
12:20:10 -3.73 50.47 98.63
12:20:11 -4.09 50.47 98.63
12:20:12 -3.48 50.47 98.63
12:20:13 -3.64 50.47 98.63
12:20:14 -3.52 50.47 98.63
12:20:15 -2.84 50.47 98.63
12:20:16 0.82 50.47 98.63
12:20:17 12.12 50.47 98.63
12:20:18 34.19 50.47 98.63
12:20:19 62.86 50.47 98.63
12:20:20 90.35 50.47 98.63
12:20:21 106.04 50.47 98.63
12:20:22 106.19 50.47 98.63
12:20:23 93.75 50.47 98.63
12:20:24 74.21 50.47 98.63
12:20:25 55.04 50.47 98.63
12:20:26 38.41 50.47 98.63
12:20:27 24.67 50.47 98.63
12:20:28 14.40 50.47 98.63
12:20:29 8.34 50.47 98.63
12:20:30 4.94 50.47 98.63
12:20:31 2.01 50.47 98.63
12:20:32 0.53 50.47 98.63
12:20:33 -0.83 50.47 98.63
12:20:34 -1.09 50.47 98.63
12:20:35 -1.25 50.47 98.63
12:20:36 -1.98 50.47 98.63
12:20:37 -2.43 50.47 98.63
12:20:38 -2.68 50.47 98.63
12:20:39 -3.16 50.47 98.63
12:20:40 -3.27 50.47 98.63
12:20:41 -3.36 50.47 98.63
12:20:42 -3.61 50.47 98.63
12:20:43 -3.33 50.47 98.63
12:20:44 -3.40 50.47 98.63
12:20:45 -3.57 50.47 98.63
