"2016-05-24 at 12:16"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
12:16:42 -4.24 50.47 98.80
12:16:43 -4.45 50.47 98.80
12:16:44 -4.17 50.47 98.82
12:16:45 -4.59 50.47 98.80
12:16:46 -4.29 50.47 98.80
12:16:47 -4.70 50.47 98.80
12:16:48 -4.22 50.47 98.80
12:16:49 -4.70 50.47 98.80
12:16:50 -4.24 50.47 98.80
12:16:51 -4.43 50.47 98.80
12:16:52 -4.25 50.47 98.80
12:16:53 -4.59 50.47 98.80
12:16:54 -4.71 50.47 98.80
12:16:55 -4.45 50.47 98.80
12:16:56 -4.57 50.47 98.80
12:16:57 -4.51 50.47 98.80
12:16:58 -4.37 50.47 98.80
12:16:59 -4.35 50.47 98.80
12:17:00 -4.47 50.47 98.80
12:17:01 -4.44 50.47 98.80
12:17:02 -4.28 50.47 98.80
12:17:03 -4.61 50.47 98.80
12:17:04 -4.28 50.47 98.80
12:17:05 -4.29 50.47 98.80
12:17:06 -4.60 50.47 98.80
12:17:07 -4.38 50.47 98.80
12:17:08 -4.17 50.47 98.82
12:17:09 -4.75 50.47 98.80
12:17:10 -4.60 50.47 98.80
12:17:11 -4.61 50.47 98.80
12:17:12 -4.54 50.47 98.80
12:17:13 -4.40 50.47 98.80
12:17:14 -4.28 50.47 98.80
12:17:15 -4.63 50.47 98.80
12:17:16 -4.45 50.47 98.80
12:17:17 -4.25 50.47 98.80
12:17:18 -2.57 50.47 98.80
12:17:19 4.89 50.47 98.80
12:17:20 25.73 50.47 98.80
12:17:21 65.09 50.47 98.80
12:17:22 91.19 50.47 98.80
12:17:23 144.03 50.47 98.80
12:17:24 184.33 50.47 98.80
12:17:25 197.85 50.47 98.80
12:17:26 184.76 50.47 98.80
12:17:27 154.69 50.47 98.80
12:17:28 118.89 50.47 98.80
12:17:29 82.04 50.47 98.80
12:17:30 52.02 50.47 98.80
12:17:31 32.04 50.47 98.80
12:17:32 19.37 50.47 98.80
12:17:33 10.99 50.47 98.80
12:17:34 6.54 50.47 98.80
12:17:35 2.81 50.47 98.80
12:17:36 1.42 50.47 98.80
12:17:37 -0.32 50.47 98.80
12:17:38 -1.50 50.47 98.80
12:17:39 -2.00 50.47 98.80
12:17:40 -2.60 50.47 98.80
12:17:41 -3.53 50.47 98.80
12:17:42 -3.74 50.47 98.82
12:17:43 -3.80 50.47 98.80
12:17:44 -3.57 50.47 98.80
12:17:45 -3.73 50.47 98.80
12:17:46 -4.04 50.47 98.80
12:17:47 -4.03 50.47 98.80
12:17:48 -3.86 50.47 98.80
12:17:49 -4.03 50.47 98.80
12:17:50 -4.27 50.47 98.80
12:17:51 -4.08 50.47 98.80
12:17:52 -2.47 50.47 98.80
