soil,total.biomass.norpf,total.biomass.rpf,difference,Percent.change
sterilized,1.627,1.581,-0.046,-0.028272895
sterilized,2.488,1.358,-1.13,-0.454180064
sterilized,2.144,1.689,-0.455,-0.212220149
sterilized,2.554,1.392,-1.162,-0.454972592
sterilized,1.733,1.537,-0.196,-0.113098673
sterilized,1.901,1.896,-0.005,-0.002630195
sterilized,1.457,2.075,0.618,0.424159231
sterilized,1.801,1.935,0.134,0.074403109
live,1.583,1.076,-0.507,-0.320277953
live,1.618,1.145,-0.473,-0.292336218
live,1.109,1.148,0.039,0.035166817
live,3.147,1.85,-1.297,-0.412138545
live,2.121,1.262,-0.859,-0.404997643
live,1.932,1.35,-0.582,-0.301242236
live,1.793,1.263,-0.53,-0.295593977
live,2.236,1.257,-0.979,-0.43783542
,,,,-0.303656897
