sample_name	rep	type	treatment	Organism
BrassicaC1	1	cDNA	Rpf-	Bacteria
BrassicaC2	2	cDNA	Rpf-	Bacteria
BrassicaC3	3	cDNA	Rpf-	Bacteria
BrassicaC4	4	cDNA	Rpf-	Bacteria
BrassicaC5	5	cDNA	Rpf-	Bacteria
BrassicaCR1	1	cDNA	Rpf+	Bacteria
BrassicaCR2	2	cDNA	Rpf+	Bacteria
BrassicaCR3	3	cDNA	Rpf+	Bacteria
BrassicaCR4	4	cDNA	Rpf+	Bacteria
BrassicaCR5	5	cDNA	Rpf+	Bacteria
BrassicaD1	1	DNA	Rpf-	Bacteria
BrassicaD2	2	DNA	Rpf-	Bacteria
BrassicaD3	3	DNA	Rpf-	Bacteria
BrassicaD4	4	DNA	Rpf-	Bacteria
BrassicaD5	5	DNA	Rpf-	Bacteria
BrassicaDR1	1	DNA	Rpf+	Bacteria
BrassicaDR2	2	DNA	Rpf+	Bacteria
BrassicaDR3	3	DNA	Rpf+	Bacteria
BrassicaDR4	4	DNA	Rpf+	Bacteria
BrassicaDR5	5	DNA	Rpf+	Bacteria
