Sample ID,plant,Treatment,soil,rep,hour,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6
32,present,Rpf-,live,8,24,4802.105,4148.679,23660.041,16258.165,22797.752,31173.159
33,absent,Rpf+,sterilized,1,24,26038.833,3917.035,2882.982,7457.932,1836.047,10068.852
34,absent,Rpf+,sterilized,2,24,1393.105,3103.504,51324.494,4247.009,1596.797,6798.797
35,absent,Rpf+,sterilized,3,24,23652.37,3993.267,20669.672,10586.211,8985.421,12363.423
36,absent,Rpf+,sterilized,4,24,1577.428,2905.233,33937.227,16447.162,10712.073,12519.799
37,absent,Rpf+,sterilized,5,24,7850.898,3594.911,38132.051,3597.373,6336.951,13984.622
38,absent,Rpf+,live,1,24,9475.081,4517.139,16625.073,12257.382,11099.975,9322.08
39,absent,Rpf+,live,2,24,12925.295,4398.237,12917.156,9459.001,8856.12,1101.197
40,absent,Rpf+,live,3,24,8534.969,3992.133,12176.633,11319.846,14486.428,18478.024
41,absent,Rpf+,live,4,24,4918.281,4716.62,12354.253,8032.376,14916.552,2241.568
42,absent,Rpf+,live,5,24,25430.373,4150.115,12117.427,12544.603,9302.956,11724.092
43,absent,Rpf-,sterilized,1,24,1536.539,4878.305,36324.044,27889.293,9268.652,9682.701
44,absent,Rpf-,sterilized,2,24,16844.753,4135.073,20743.017,7358.353,12592.654,9818.864
45,absent,Rpf-,sterilized,3,24,10678.048,1589.487,12868.554,10586.889,14065.101,16570.668
46,absent,Rpf-,sterilized,4,24,36839.897,3261.94,17571.493,8083.859,5622.718,12370.87
47,absent,Rpf-,sterilized,5,24,12643.294,3749.075,70711.527,6887.553,10448.193,11790.046
48,absent,Rpf-,live,1,24,7848.626,4430.514,16673.675,9993.478,11107.892,7025.381
49,absent,Rpf-,live,2,24,5461.514,4370.345,13746.931,5903.954,6131.125,12819.784
50,absent,Rpf-,live,3,24,7828.182,4760.575,14091.565,5249.576,14350.97,12985.734
51,absent,Rpf-,live,4,24,22414.681,4492.081,13943.991,9486.098,3905.742,11868.766
52,absent,Rpf-,live,5,24,5688.024,4353.224,32663.846,8574.304,13174.068,11697.498
1,present,Rpf+,sterilized,1,48,72584.23,19557.612,22916.03,16250.781,22233.951,12486.35
2,present,Rpf+,sterilized,2,48,67059.825,19098.892,35488.687,21005.941,15983.154,12108.452
3,present,Rpf+,sterilized,3,48,49308.619,13012.662,33486.415,12084.783,17932.348,11580.703
4,present,Rpf+,sterilized,4,48,34676.245,15497.815,24424.195,19003.64,14168.363,2060.351
5,present,Rpf+,sterilized,5,48,107742.273,27322.455,23749.208,17549.242,12968.655,2528.596
6,present,Rpf+,sterilized,6,48,79888.994,39193.724,7615.065,9310.08,15265.447,11248.601
7,present,Rpf+,sterilized,7,48,84780.383,29714.982,17439.876,25626.4,15462.75,14540.333
8,present,Rpf+,sterilized,8,48,68337.002,86773.315,27073.093,9035.219,21509.624,9220.787
9,present,Rpf+,live,1,48,10622.736,57706.98,13302.35,16380.02,8876.273,6844.671
10,present,Rpf+,live,2,48,6494.756,6365.003,17939.656,11081.812,22227.33,9106.14
11,present,Rpf+,live,3,48,10445.536,6528.202,10923.194,10012.705,11501.462,6980.814
12,present,Rpf+,live,4,48,8845.721,20103.917,1785.976,20828.161,22684.173,9079.348
13,present,Rpf+,live,5,48,14576.86,14355.426,22688.514,9540.648,18705.008,6017.221
14,present,Rpf+,live,6,48,19929.08,16068.064,6480.633,10473.234,17886.664,7865.588
15,present,Rpf+,live,7,48,8745.976,7370.658,22264.993,13556.17,16680.997,2183.721
16,present,Rpf+,live,8,48,3993.338,12103.413,7841.951,6065.747,9742.949,8316.075
17,present,Rpf-,sterilized,1,48,14040.802,47925.155,94060.038,4510.02,40535.461,7942.85
18,present,Rpf-,sterilized,2,48,60967.042,39123.782,23122.749,29964.111,24601.587,2641.685
19,present,Rpf-,sterilized,3,48,52773.492,36181.169,23891.642,19163.824,12345.628,13311.931
20,present,Rpf-,sterilized,4,48,36759.18,6004.58,15443.275,14995.399,17852.235,7287.058
21,present,Rpf-,sterilized,5,48,56794.484,54350.385,18075.788,16379.413,16960.399,6821.306
22,present,Rpf-,sterilized,6,48,37157.045,53143.095,10636.435,15232.035,15933.497,12981.387
23,present,Rpf-,sterilized,7,48,34191.452,38945.461,26897.887,3655.705,17042.499,7101.692
24,present,Rpf-,sterilized,8,48,22827.805,48051.177,18468.427,15337.004,17010.056,2175.309
25,present,Rpf-,live,1,48,12084.358,8513.048,33811.619,16452.831,15603.776,6812.894
26,present,Rpf-,live,2,48,13178.763,26648.868,20102.639,28772.439,23732.924,1490.233
27,present,Rpf-,live,3,48,21868.25,6470.232,13371.046,16255.028,16467.804,2257.556
28,present,Rpf-,live,4,48,10189.766,11126.743,11897.545,961.095,16926.633,5624.992
29,present,Rpf-,live,5,48,12019.719,8570.387,1585.559,12893.591,4119.814,9679.686
30,present,Rpf-,live,6,48,30364.378,15622.576,14209.266,12863.253,14259.732,5168.898
31,present,Rpf-,live,7,48,11346.024,1056.328,9479.315,14363.158,27442.618,3861.987
32,present,Rpf-,live,8,48,40663.153,1361.301,16612.37,20783.867,35395.651,1690.553
33,absent,Rpf+,sterilized,1,48,91437.643,76929.74,18132.509,10631.598,16706.819,3053.541
34,absent,Rpf+,sterilized,2,48,24166.835,42925.234,69691.81,8645.68,8728.627,4328.674
35,absent,Rpf+,sterilized,3,48,56623.413,17905.464,14780.893,19092.834,11273.703,5795.093
36,absent,Rpf+,sterilized,4,48,10611.034,48607.564,45178.627,11214.692,13460.588,6757.129
37,absent,Rpf+,sterilized,5,48,45328.306,19006.896,45207.618,12304.429,5447.967,2763.809
38,absent,Rpf+,live,1,48,28802.454,9068.174,20687.502,18830.108,9110.653,4821.53
39,absent,Rpf+,live,2,48,46096.172,5298.227,16691.15,21199.496,14161.08,5931.548
40,absent,Rpf+,live,3,48,44334.76,25874.463,28418.025,10054.572,14427.903,6963.68
41,absent,Rpf+,live,4,48,11483.661,7805.434,11504.906,3590.782,10818.847,3752.948
42,absent,Rpf+,live,5,48,59690.979,21730.861,19779.326,10976.843,14402.743,2510.215
43,absent,Rpf-,sterilized,1,48,15609.969,42255.427,31561.662,48788.767,17754.246,4366.994
44,absent,Rpf-,sterilized,2,48,66052.905,7583.636,29105.617,10557.574,13142.123,4685.387
45,absent,Rpf-,sterilized,3,48,18041.733,40483.559,31697.794,7356.927,11487.558,6740.617
46,absent,Rpf-,sterilized,4,48,49254.567,68439.64,28177.904,10178.957,9047.092,6916.637
47,absent,Rpf-,sterilized,5,48,38769.676,25445.358,30879.112,4041.603,9567.495,3718.679
48,absent,Rpf-,live,1,48,15141.894,6831.915,14317.037,6187.705,19403.514,3650.14
49,absent,Rpf-,live,2,48,11785.124,9396.461,16785.056,8983.038,11828.535,1383.998
50,absent,Rpf-,live,3,48,56354.27,864.145,31328.473,12898.445,7858.639,7354.351
51,absent,Rpf-,live,4,48,34457.252,10925.108,18787.329,4017.333,4806.402,5031.197
52,absent,Rpf-,live,5,48,28148.263,19384.332,46151.087,12896.624,13583.737,6242.153
