Sample ID,plant,Treatment,soil,rep,hour,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6
1,present,Rpf+,sterilized,1,24,17513.897,2573.283,25365.542,6971.552,15642.22,43453.421
2,present,Rpf+,sterilized,2,24,21059.842,3513.652,35393.53,14072.84,17224.618,21058.751
3,present,Rpf+,sterilized,3,24,20528.616,4360.102,24411.168,16174.843,16115.444,14248.439
4,present,Rpf+,sterilized,4,24,2017.142,3835.172,34521.339,1574.627,10281.949,11937.912
5,present,Rpf+,sterilized,5,24,25868.789,3431.94,22224.947,12444.347,9472.719,5804.163
6,present,Rpf+,sterilized,6,24,20761.94,3936.953,28557.39,10420.246,15346.676,26834.006
7,present,Rpf+,sterilized,7,24,28630.388,3860.759,29630.176,15746.72,13943.716,28387.123
8,present,Rpf+,sterilized,8,24,17035.566,3585.16,23839.428,16531.161,18236.156,18480.151
9,present,Rpf+,live,1,24,4383.16,4677.011,14481.268,6248.756,13959.549,19338.621
10,present,Rpf+,live,2,24,3884.385,4610.719,4407.328,9166.36,14681.699,18980.127
11,present,Rpf+,live,3,24,1155.237,4821.991,9436.345,1179.02,1597.676,12899.568
12,present,Rpf+,live,4,24,4995.839,4207.449,1673.225,10548.954,33017.803,5492.476
13,present,Rpf+,live,5,24,3865.888,4199.702,16400.619,4503.07,16750.514,17056.815
14,present,Rpf+,live,6,24,7296.631,4489.776,6221.521,9114.2,17112.029,22467.194
15,present,Rpf+,live,7,24,7123.017,4573.831,4141.34,12324.445,13858.395,18180.166
16,present,Rpf+,live,8,24,5652.327,4213.005,17640.42,8187.503,17269.477,15260.093
17,present,Rpf-,sterilized,1,24,1284.393,4194.108,47732.34,17113.056,40137.271,23943.719
18,present,Rpf-,sterilized,2,24,10517.09,3305.139,20167.742,14912.151,20396.449,18866.303
19,present,Rpf-,sterilized,3,24,18354.06,2999.418,14346.949,13675.201,15714.348,2739.417
20,present,Rpf-,sterilized,4,24,5398.883,2862.45,15140.492,12487.024,16541.17,16240.897
21,present,Rpf-,sterilized,5,24,19070.907,3579.906,16590.61,12425.379,18127.085,16365.359
22,present,Rpf-,sterilized,6,24,15272.492,3792.275,3269.149,19356.638,16337.103,13533.58
23,present,Rpf-,sterilized,7,24,13268.629,2486.279,7631.872,8299.276,8069.76,13262.316
24,present,Rpf-,sterilized,8,24,8286.717,3090.692,28521.159,11435.006,14707.208,17579.131
25,present,Rpf-,live,1,24,5999.231,4563.324,25918.725,7426.772,4852.19,21598.087
26,present,Rpf-,live,2,24,6960.112,3665.058,16097.517,19256.381,33111.041,16901.503
27,present,Rpf-,live,3,24,11074.277,4656.11,13029.383,11552.875,16062.668,17382.331
28,present,Rpf-,live,4,24,4455.202,4581.126,14685.398,13556.654,15787.354,18619.506
29,present,Rpf-,live,5,24,5608.518,4497.032,11967.201,10492.051,6330.794,20431.121
30,present,Rpf-,live,6,24,16283.672,4438.753,11492.666,7666.575,13217.168,14088.872
31,present,Rpf-,live,7,24,3739.652,4946.562,12253.513,13853.359,17425.166,18174.847
