ID,Treatment,soil,flower.count,seed.count,SLA,height,abiomass,bbiomass,dweight,wweight,shoot.root,total.biomass
1,Rpf-,Sterilized,4,29,127.1428571,17.1,0.684,0.424,0.07,0.36,0.725344645,1.627
2,Rpf-,Sterilized,22,74,154.4444444,29.6,1.768,0.72,0.09,0.39,2.455555556,2.488
3,Rpf-,Sterilized,13,109,180,33.3,1.529,0.615,0.07,0.37,2.486178862,2.144
4,Rpf-,Sterilized,12,150,136,25.6,1.866,0.688,0.1,0.44,2.712209302,2.554
5,Rpf-,Sterilized,8,76,84.21052632,34.5,1.089,0.644,0.19,0.66,1.690993789,1.733
6,Rpf-,Sterilized,5,1,224,28.8,1.324,0.577,0.05,0.34,2.294627383,1.901
7,Rpf-,Sterilized,12,62,350,30.6,1.309,0.148,0.02,0.26,8.844594595,1.457
8,Rpf-,Sterilized,7,72,151.6666667,22.5,1.356,0.445,0.06,0.27,3.047191011,1.801
9,Rpf-,Live,17,121,550,46.1,1.159,0.943,0.01,0.17,2.733490566,1.583
10,Rpf-,Live,9,0,96.92307692,30,1.031,0.587,0.13,0.41,1.756388416,1.618
11,Rpf-,Live,4,34,220,21.5,0.752,0.357,0.03,0.17,2.106442577,1.109
12,Rpf-,Live,6,0,360,24.1,0.926,2.221,0.01,0.15,0.416929311,3.147
13,Rpf-,Live,12,76,96,33.3,1.175,0.946,0.1,0.33,1.242071882,2.121
14,Rpf-,Live,8,46,105.7142857,25,1.284,0.648,0.07,0.25,1.981481481,1.932
15,Rpf-,Live,14,73,135,33.2,1.095,0.698,0.08,0.27,1.568767908,1.793
16,Rpf-,Live,10,92,415,28.5,1.028,1.208,0.02,0.24,0.850993377,2.236
17,Rpf+,Sterilized,10,29,220,25.4,1.131,0.45,0.03,0.22,2.513333333,1.581
18,Rpf+,Sterilized,11,83,246.6666667,29,1.004,0.354,0.03,0.23,2.836158192,1.358
19,Rpf+,Sterilized,11,109,600,29.6,1.299,0.39,0.01,0.18,3.330769231,1.689
20,Rpf+,Sterilized,7,80,172,29,1.185,0.207,0.05,0.29,5.724637681,1.392
21,Rpf+,Sterilized,17,73,101.4285714,32.5,1.197,0.34,0.07,0.29,3.520588235,1.537
22,Rpf+,Sterilized,19,141,118.75,33.4,1.568,0.328,0.08,0.31,4.780487805,1.896
23,Rpf+,Sterilized,9,59,256.6666667,27.3,1.437,0.638,0.03,0.24,2.252351097,2.075
24,Rpf+,Sterilized,9,53,380,21.8,1.385,0.55,0.04,0.43,2.518181818,1.935
25,Rpf+,Live,10,0,226.6666667,27.5,0.728,0.348,0.03,0.17,2.091954023,1.076
26,Rpf+,Live,5,105,175,31.5,0.917,0.228,0.04,0.22,4.021929825,1.145
27,Rpf+,Live,11,40,290,25,0.811,0.337,0.02,0.16,2.40652819,1.148
28,Rpf+,Live,5,42,96.92307692,26.5,1.126,0.724,0.13,0.36,1.555248619,1.85
29,Rpf+,Live,5,21,230,38,0.936,0.326,0.03,0.18,2.871165644,1.262
30,Rpf+,Live,9,59,142.5,23,0.808,0.542,0.04,0.16,1.490774908,1.35
31,Rpf+,Live,3,12,263.3333333,19.9,0.779,0.484,0.03,0.2,1.609504132,1.263
32,Rpf+,Live,6,36,130,19.3,0.567,0.69,0.03,0.12,0.82173913,1.257
