"2016-05-31 at 12:24"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
12:24:20 -4.63 50.47 99.53
12:24:21 -4.34 50.47 99.53
12:24:22 -4.87 50.47 99.53
12:24:23 -4.55 50.47 99.53
12:24:24 -4.66 50.47 99.53
12:24:25 -4.59 50.47 99.53
12:24:26 -4.62 50.47 99.53
12:24:27 -4.14 50.47 99.53
12:24:28 -5.07 50.47 99.53
12:24:29 -4.76 50.47 99.53
12:24:30 -4.41 50.47 99.53
12:24:31 -4.64 50.47 99.53
12:24:32 -4.72 50.47 99.53
12:24:33 -4.41 50.47 99.53
12:24:34 -4.21 50.47 99.54
12:24:35 -5.13 50.47 99.54
12:24:36 -4.46 50.47 99.53
12:24:37 -4.72 50.47 99.53
12:24:38 -4.45 50.47 99.53
12:24:39 -4.63 50.47 99.53
12:24:40 -4.44 50.47 99.53
12:24:41 -4.76 50.47 99.53
12:24:42 -4.43 50.47 99.53
12:24:43 -4.59 50.47 99.53
12:24:44 -3.22 50.47 99.53
12:24:45 0.41 50.47 99.53
12:24:46 13.71 50.47 99.53
12:24:47 38.09 50.47 99.53
12:24:48 71.52 50.47 99.53
12:24:49 103.27 50.47 99.53
12:24:50 122.14 50.47 99.53
12:24:51 124.89 50.47 99.53
12:24:52 117.18 50.47 99.53
12:24:53 99.73 50.47 99.53
12:24:54 77.76 50.47 99.53
12:24:55 55.72 50.47 99.53
12:24:56 35.99 50.47 99.53
12:24:57 23.41 50.47 99.53
12:24:58 15.10 50.47 99.53
12:24:59 9.12 50.47 99.53
12:25:00 5.81 50.47 99.53
12:25:01 3.84 50.47 99.53
12:25:02 1.79 50.47 99.53
12:25:03 0.83 50.47 99.53
12:25:04 -0.04 50.47 99.53
12:25:05 -0.85 50.47 99.53
12:25:06 -1.15 50.47 99.53
12:25:07 -1.56 50.47 99.53
12:25:08 -2.41 50.47 99.53
12:25:09 -2.75 50.47 99.53
12:25:10 -2.28 50.47 99.53
12:25:11 -3.29 50.47 99.53
12:25:12 -3.07 50.47 99.53
12:25:13 -3.35 50.47 99.53
12:25:14 -3.69 50.47 99.53
12:25:15 -3.50 50.47 99.53
12:25:16 -3.99 50.47 99.53
12:25:17 -3.71 50.47 99.53
12:25:18 -3.80 50.47 99.53
12:25:19 -3.82 50.47 99.53
12:25:20 -4.24 50.47 99.53
12:25:21 -3.77 50.47 99.53
12:25:22 -1.39 50.47 99.53
12:25:23 6.44 50.47 99.53
12:25:24 23.31 50.47 99.53
12:25:25 45.94 50.47 99.53
12:25:26 66.00 50.47 99.53
12:25:27 74.32 50.47 99.53
12:25:28 69.73 50.47 99.53
12:25:29 55.86 50.47 99.53
12:25:30 40.64 50.47 99.53
12:25:31 27.47 50.47 99.53
12:25:32 17.28 50.47 99.53
12:25:33 10.75 50.47 99.53
12:25:34 8.47 50.47 99.53
12:25:35 4.49 50.47 99.53
12:25:36 2.15 50.47 99.53
12:25:37 0.87 50.47 99.53
12:25:38 -0.76 50.47 99.53
12:25:39 -1.34 50.47 99.53
12:25:40 -1.81 50.47 99.53
12:25:41 -2.21 50.47 99.53
12:25:42 -3.24 50.47 99.53
12:25:43 -3.28 50.47 99.53
12:25:44 -3.34 50.47 99.53
12:25:45 -3.46 50.47 99.53
12:25:46 -3.35 50.47 99.53
12:25:47 -3.58 50.47 99.53
12:25:48 -3.94 50.47 99.53
12:25:49 -3.75 50.47 99.53
12:25:50 -3.94 50.47 99.53
12:25:51 -3.59 50.47 99.53
12:25:52 -2.81 50.47 99.53
12:25:53 -0.33 50.47 99.53
12:25:54 7.04 50.47 99.53
12:25:55 17.11 50.47 99.53
12:25:56 23.47 50.47 99.53
12:25:57 35.47 50.47 99.53
12:25:58 41.84 50.47 99.53
12:25:59 42.85 50.47 99.53
12:26:00 37.84 50.47 99.53
12:26:01 30.04 50.47 99.53
12:26:02 21.20 50.47 99.53
12:26:03 12.92 50.47 99.53
12:26:04 6.96 50.47 99.53
12:26:05 2.73 50.47 99.53
12:26:06 0.70 50.47 99.53
12:26:07 -1.22 50.47 99.53
12:26:08 -2.03 50.47 99.53
12:26:09 -3.00 50.47 99.53
12:26:10 -3.13 50.47 99.53
12:26:11 -3.45 50.47 99.53
12:26:12 -4.12 50.47 99.53
12:26:13 -4.03 50.47 99.53
12:26:14 -4.13 50.47 99.53
12:26:15 -3.88 50.47 99.53
12:26:16 -4.48 50.47 99.53
12:26:17 -4.58 50.47 99.53
12:26:18 -4.52 50.47 99.53
12:26:19 -4.44 50.47 99.53
12:26:20 -4.32 50.47 99.53
12:26:21 -3.34 50.47 99.53
12:26:22 -1.23 50.47 99.53
12:26:23 3.85 50.47 99.53
12:26:24 10.37 50.47 99.53
12:26:25 17.47 50.47 99.53
12:26:26 21.10 50.47 99.53
12:26:27 21.66 50.47 99.53
12:26:28 18.90 50.47 99.53
12:26:29 13.95 50.47 99.53
12:26:30 8.87 50.47 99.53
12:26:31 4.43 50.47 99.53
12:26:32 1.84 50.47 99.53
12:26:33 -0.54 50.47 99.53
