"2016-05-09 at 12:12"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
12:12:55 -4.14 50.47 99.04
12:12:56 -4.46 50.47 99.04
12:12:57 -4.24 50.47 99.04
12:12:58 -4.17 50.47 99.04
12:12:59 -3.98 50.47 99.04
12:13:00 -4.16 50.47 99.04
12:13:01 -4.17 50.47 99.04
12:13:02 -3.96 50.47 99.04
12:13:03 -4.10 50.47 99.04
12:13:04 -4.10 50.47 99.04
12:13:05 -4.46 50.47 99.04
12:13:06 -4.18 50.47 99.04
12:13:07 -4.07 50.47 99.04
12:13:08 -4.56 50.47 99.04
12:13:09 -4.45 50.47 99.04
12:13:10 -4.47 50.47 99.04
12:13:11 -4.09 50.47 99.04
12:13:12 -4.55 50.47 99.04
12:13:13 -3.93 50.47 99.04
12:13:14 -4.76 50.47 99.04
12:13:15 -4.60 50.47 99.04
12:13:16 -4.24 50.47 99.04
12:13:17 -4.81 50.47 99.04
12:13:18 -4.18 50.47 99.04
12:13:19 -4.49 50.47 99.04
12:13:20 -4.54 50.47 99.04
12:13:21 -4.29 50.47 99.04
12:13:22 -3.97 50.47 99.04
12:13:23 -3.09 50.47 99.04
12:13:24 3.91 50.47 99.04
12:13:25 21.28 50.47 99.04
12:13:26 53.33 50.47 99.04
12:13:27 93.93 50.47 99.04
12:13:28 130.35 50.47 99.04
12:13:29 147.72 50.47 99.04
12:13:30 144.80 50.47 99.04
12:13:31 136.46 50.47 99.04
12:13:32 112.94 50.47 99.04
12:13:33 86.72 50.47 99.04
12:13:34 60.88 50.47 99.04
12:13:35 39.69 50.47 99.04
12:13:36 25.23 50.47 99.04
12:13:37 16.78 50.47 99.04
12:13:38 10.57 50.47 99.04
12:13:39 7.15 50.47 99.04
12:13:40 4.51 50.47 99.04
12:13:41 2.68 50.47 99.04
12:13:42 1.56 50.47 99.04
12:13:43 0.21 50.47 99.04
12:13:44 -0.12 50.47 99.04
12:13:45 -1.12 50.47 99.04
12:13:46 -1.62 50.47 99.04
12:13:47 -1.68 50.47 99.04
12:13:48 -2.64 50.47 99.04
12:13:49 -2.92 50.47 99.04
12:13:50 -3.13 50.47 99.04
12:13:51 -3.03 50.47 99.04
12:13:52 -3.51 50.47 99.04
12:13:53 -3.54 50.47 99.04
12:13:54 -3.42 50.47 99.04
12:13:55 -3.39 50.47 99.04
12:13:56 -3.88 50.47 99.04
12:13:57 -3.52 50.47 99.04
12:13:58 -2.68 50.47 99.04
12:13:59 1.70 50.47 99.04
12:14:00 12.55 50.47 99.04
12:14:01 33.34 50.47 99.04
12:14:02 59.23 50.47 99.04
12:14:03 82.22 50.47 99.04
12:14:04 93.09 50.47 99.04
12:14:05 91.39 50.47 99.04
12:14:06 78.96 50.47 99.04
12:14:07 62.06 50.47 99.04
12:14:08 45.79 50.47 99.04
12:14:09 30.01 50.47 99.04
12:14:10 18.17 50.47 99.04
12:14:11 11.32 50.47 99.04
12:14:12 5.89 50.47 99.04
12:14:13 3.32 50.47 99.04
12:14:14 1.50 50.47 99.04
12:14:15 0.90 50.47 99.04
12:14:16 -0.24 50.47 99.04
12:14:17 -1.39 50.47 99.04
12:14:18 -1.76 50.47 99.04
12:14:19 -2.40 50.47 99.04
12:14:20 -2.35 50.47 99.04
12:14:21 -3.39 50.47 99.04
12:14:22 -3.65 50.47 99.04
12:14:23 -3.36 50.47 99.04
12:14:24 -3.67 50.47 99.04
12:14:25 -3.88 50.47 99.04
12:14:26 -3.80 50.47 99.04
