"2016-05-10 at 11:59"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
11:59:31 -4.42 50.47 99.17
11:59:32 -4.47 50.47 99.17
11:59:33 -4.11 50.47 99.17
11:59:34 -4.46 50.47 99.17
11:59:35 -4.51 50.47 99.17
11:59:36 -4.48 50.47 99.17
11:59:37 -4.29 50.47 99.17
11:59:38 -4.33 50.47 99.17
11:59:39 -4.18 50.47 99.17
11:59:40 -4.53 50.47 99.17
11:59:41 -4.17 50.47 99.17
11:59:42 -4.05 50.47 99.17
11:59:43 -4.77 50.47 99.17
11:59:44 -4.68 50.47 99.17
11:59:45 -4.02 50.47 99.17
11:59:46 -4.34 50.47 99.17
11:59:47 -4.46 50.47 99.17
11:59:48 -4.23 50.47 99.17
11:59:49 -4.27 50.47 99.17
11:59:50 -4.29 50.47 99.17
11:59:51 -4.29 50.47 99.17
11:59:52 -4.39 50.47 99.17
11:59:53 -4.59 50.47 99.17
11:59:54 -4.37 50.47 99.17
11:59:55 -4.28 50.47 99.17
11:59:56 -4.37 50.47 99.17
11:59:57 -4.30 50.47 99.17
11:59:58 -4.40 50.47 99.17
11:59:59 -4.53 50.47 99.17
12:00:00 -4.22 50.47 99.17
12:00:01 -4.70 50.47 99.17
12:00:02 -4.27 50.47 99.17
12:00:03 -4.56 50.47 99.17
12:00:04 -4.32 50.47 99.17
12:00:05 -4.37 50.47 99.17
12:00:06 -4.40 50.47 99.17
12:00:07 -4.17 50.47 99.17
12:00:08 -4.25 50.47 99.17
12:00:09 -4.53 50.47 99.17
12:00:10 -4.03 50.47 99.17
12:00:11 -2.34 50.47 99.17
12:00:12 5.99 50.47 99.17
12:00:13 28.86 50.47 99.17
12:00:14 72.11 50.47 99.17
12:00:15 129.17 50.47 99.17
12:00:16 180.66 50.47 99.17
12:00:17 208.54 50.47 99.17
12:00:18 205.98 50.47 99.17
12:00:19 180.86 50.47 99.17
12:00:20 144.91 50.47 99.17
12:00:21 107.49 50.47 99.17
12:00:22 90.84 50.47 99.17
12:00:23 63.92 50.47 99.17
12:00:24 41.55 50.47 99.17
12:00:25 25.90 50.47 99.17
12:00:26 15.97 50.47 99.17
12:00:27 10.18 50.47 99.17
12:00:28 6.45 50.47 99.17
12:00:29 3.67 50.47 99.17
12:00:30 2.04 50.47 99.17
12:00:31 0.58 50.47 99.17
12:00:32 -0.16 50.47 99.17
12:00:33 -1.31 50.47 99.17
12:00:34 -1.56 50.47 99.17
12:00:35 -2.00 50.47 99.17
12:00:36 -2.08 50.47 99.17
12:00:37 -2.87 50.47 99.17
12:00:38 -3.19 50.47 99.17
12:00:39 -2.95 50.47 99.17
12:00:40 -3.43 50.47 99.17
12:00:41 -3.62 50.47 99.17
12:00:42 -3.39 50.47 99.17
12:00:43 -3.52 50.47 99.17
12:00:44 -3.45 50.47 99.17
12:00:45 -3.68 50.47 99.17
12:00:46 -4.09 50.47 99.17
12:00:47 -2.59 50.47 99.17
12:00:48 1.63 50.47 99.17
12:00:49 15.03 50.47 99.17
12:00:50 41.44 50.47 99.17
12:00:51 76.07 50.47 99.17
12:00:52 108.89 50.47 99.17
12:00:53 128.19 50.47 99.17
12:00:54 128.67 50.47 99.17
12:00:55 114.46 50.47 99.17
12:00:56 89.74 50.47 99.17
12:00:57 62.73 50.47 99.17
12:00:58 41.90 50.47 99.17
